1957,,,
1. Don Bowden (Cal),3:58.7* (1),Stockton,1-Jun
,,,
1960,,,
2. Dyrol Burleson (Oregon),3:58.6 (1),Eugene,23-Apr
3. Jim Beatty (Santa Clara Valley Youth Village),3:58.0 (1),Modesto,28-May
,,,
1962,,,
4. Jim Grelle (Los Angeles TC),3:59.9 (1),Walnut,28-Apr
5. Keith Forman (Oregon),3:58.3* (1),Modesto,26-May
6. Cary Weisiger (USMC),3:59.3 (2),Modesto,26-May
7. Bill Dotson (Kansas),3:59.0* (4),Walnut,23-Jun
8. Bob Seaman (Los Angeles TC),3:58.07* (4),London,18-Aug
,,,
1963,,,
9. Tom O’Hara (Loyola/Chicago),3:59.2i (2),New York,15-Feb
,,,
1964,,,
10. Archie San Romani Jr (Oregon),3:57.6* (3),Compton,5-Jun
11. Morgan Groth (Oregon State),3:57.9* (4),Compton,5-Jun
12. Bob Day (UCLA),3:58.9 (6),Compton,5-Jun
13. Jim Ryun (Kansas HS),3:59.0 (8),Compton,5-Jun
14. Bob Schul (Miami/Ohio),3:59.1 (1),San Diego,13-Jun
,,,
1965,,,
15. John Garrison (Los Angeles TC),3:58.1* (2),Modesto,29-May
,,,
1966,,,
16. Roscoe Divine (Oregon),3:59.1 (2),Eugene,2-Jun
17. Wade Bell (Oregon),3:59.8* (3),Eugene,2-Jun
18. Tim Danielson (California HS),3:59.4* (4),San Diego,11-Jun
19. Richard Romo (unattached),3:58.8* (1),Woodland Hills,10-Aug
20. Ted Nelson (SoCal Striders),3:59.4* (2),Woodland Hills,10-Aug
,,,
1967,,,
21. Dave Patrick (Villanova),3:59.3i (1),New York,17-Feb
22. Dave Wilborn (Oregon),3:56.2* (3),Bakersfield,23-Jun
23. Tom Von Ruden (49er TC),3:56.9* (4),Bakersfield,23-Jun
24. Sam Bair (Kent State),3:58.7 (5),Bakersfield,23-Jun
25. Marty Liquori (New Jersey HS),3:59.8 (6),Bakersfield,23-Jun
,,,
1968,,,
26. Brian Kivlan (Manhattan),3:57.4* (2),Philadelphia,1-Jun
27. Jerry Richey (Pitt),3:58.6* (3),Philadelphia,1-Jun
28. Jack Fath (Fordham),3:59.5* (5),Philadelphia,1-Jun
29. Pat Traynor (USAF),3:59.0* (3),Walnut,10-Aug
,,,
1969,,,
30. Chuck LaBenz (Arizona State),3:58.4 (1),Berkeley,31-May
31. John Lawson (PCC),3:59.5 (4),Berkeley,31-May
,,,
1970,,,
32. Rick Riley (Washington State),3:59.2* (1),Westwood,16-May
33. Duncan Macdonald (Stanford),3:59.6 (3),Westwood,16-May
34. Jim Crawford (unattached),3:59.6 (1),Modesto,23-May
35. Howell Michael (William & Mary),3:59.0 (2),Philadelphia,30-May
36. John Mason (Pacific Coast Club),3:58.4 (2),Berkeley,30-May
37. Steve Prefontaine (Oregon),3:57.4 (2),Eugene,5-Jun
38. Steve Savage (Oregon),3:59.2* (5),Eugene,5-Jun
39. Dave Wottle (Bowling Green),3:59.0 (1),Bloomington,6-Jun
,,,
1971,,,
40. Len Hilton (Houston),3:59.1i (2),Houston,13-Feb
41. Greg Carlberg (Nebraska),3:59.6i* (3),Houston,13-Feb
42. Larry Rose (Oklahoma State),3:59.5 (1),Lawrence,16-Apr
43. Lee LaBadie (Illinois),3:58.8* (1),Carbondale,11-May
44. Jerome Howe (Kansas State),3:59.4 (1),Modesto,29-May
45. Bob Wheeler (Duke),3:59.9 (2),Seattle,19-Jun
46. John Baker (Sports International),3:59.8* (3),Eugene,26-Jun
,,,
1972,,,
47. Mark Winzenried (Club West),3:59.5* (2),Los Angeles,4-Mar
48. George Young (unattached),3:59.6* (3),Los Angeles,4-Mar
49. Juris Luzins (Quantico Marines),3:58.2* (2),Modesto,27-May
50. Ken Popejoy (Michigan State),3:59.7 (4),Los Angeles,9-Jun
,,,
1973,,,
51. Tony Waldrop (North Carolina),3:58.4 (1),Raleigh,21-Apr
52. Reggie McAfee (North Carolina),3:59.3 (2),Raleigh,21-Apr
53. Barry Brown (Florida TC),3:58.8* (2),Gainesville,13-May
54. Mark Feig (Oregon),3:59.5 (3),Eugene,19-May
55. Tommy Fulton (Texas Southern),3:57.8* (1),Arkadelphia,25-May
56. Charlie McMullen (Missouri),3:59.7 (1),East Lansing,26-May
57. Rick Wohlhuter (UCTC),3:58.8 (1),Wichita,2-Jun
58. Dick Buerkle (New York AC),3:58.0 (1),Gainesville,4-Jun
59. Mark Schilling (San José State),3:58.6* (6),Baton Rouge,9-Jun
60. Paul Geis (Oregon TC),3:58.0* (4),Eugene,20-Jun
61. Jim Johnson (Club Northwest),3:58.8* (6),Eugene,20-Jun
62. Scott Daggatt (Oregon),3:59.6 (7),Eugene,20-Jun
,,,
1974,,,
63. Mike Slack (unattached),3:59.7i (1),Fargo,26-Jan
64. Reed Fischer (Texas),3:59.9i* (5),Houston,9-Feb
65. Greg Gibson (Washington),3:59.1i* (3),San Diego,16-Feb
66. Paul Cummings (BYU),3:56.4* (1),Tempe,16-Mar
67. Steve Wheeler (Duke),3:59.4* (1),Raleigh,20-Apr
68. Denis Fikes (Penn),3:55.0* (2),Philadelphia,27-Apr
69. Karl Thornton (Penn),3:57.9* (4),Philadelphia,27-Apr
70. Bruce Fischer (UCTC),3:58.5* (3),Wichita,1-Jun
71. Ted Castaneda (Colorado),3:58.5* (4),Wichita,1-Jun
72. Keith Palmer (Kansas State),3:59.2* (5),Wichita,1-Jun
73. Jeff Schemmel (Kansas State),3:59.4 (6),Wichita,1-Jun
,,,
1975,,,
74. Keith Munson (ITA),3:58.5i* (2),Los Angeles,22-Mar
75. Ken Swenson (ITA),3:59.1* (2),Durham,3-May
76. Steve Foster (Florida TC),3:58.5 (1),Gainesville,6-May
77. Steve Heidenreich (Indiana),3:59.6 (2),Bowling Green,10-May
78. Matt Centrowitz (New York AC),3:59.2 (4),Modesto,24-May
79. Gary Barger (Oregon),3:58.8* (1),Eugene,29-May
80. Mike Durkin (Illinois),3:56.7* (2),Wichita,31-May
,,,
1976,,,
81. Steve Bolt (Alabama),3:59.4i* (1),Baton Rouge,28-Feb
82. Rick Musgrave (Colorado),3:59.3 (5),Wichita,29-May
,,,
1977,,,
83. Steve Scott (UC Irvine),3:59.7i (3),Los Angeles,15-Jan
84. Ron Speirs (New York AC),3:56.9* (4),Philadelphia,30-Apr
85. Steve Lacy (Wisconsin),3:59.64 (2),Wichita,27-May
86. Ed Arriola (Arizona),3:59.3* (4),Eugene,14-Jun
,,,
1978,,,
87. Greg Meyer (Athletic Attic),3:59.1i* (1),Ann Arbor,28-Jan
88. Tom Duits (Western Michigan),3:59.2* (3),Philadelphia,29-Apr
89. Don Paige (Villanova),3:58.10 (2),Westwood,7-May
90. Craig Masback (Oxbridge),3:59.6 (1),Oxford,17-Jun
91. Jerald Jones (Santa Monica TC),3:57.9* (7),Oslo,27-Jun
92. Jeff Jirele (Santa Monica TC),3:58.26* (8),Stockholm,3-Jul
93. Phil Kane (Athletics West),3:59.37 (9),Stockholm,3-Jul
94. Greg Fredericks (Reading AA),3:59.7* (2),University Park,5-Aug
95. Mike Manke (Athletics West),3:58.83* (4),Berlin,18-Aug
,,,
1979,,,
96. Mark Belger (Athletic Attic),3:58.4 (2),Berkeley,9-Jun
97. Ross Donoghue (St John’s),3:58.0 (4),Piscataway,23-Jun
98. Tom Smith (Colorado),3:58.3 (1),Tillsonburg,4-Jul
99. Andy Clifford (Cal),3:59.49 (4),Gateshead,8-Jul
,,,
1980,,,
100. Jim Spivey (Indiana),3:58.9i (3),Louisville,9-Feb
101. Ray Wicksell (Sub-4 TC),3:59.7 (1),Stanford,22-Mar
102. Ron Cornell (UCLA),3:57.7* (4),Westwood,11-May
103. Larry Mangan (Penn State),3:58.4 (1),University Park,16-May
104. Mike Wyatt (Philadelphia Pioneers),3:58.0* (5),Philadelphia,18-May
105. Richie Harris (Colorado State),3:58.3 (1),Tillsonburg,4-Jul
106. Todd Harbour (Baylor),3:58.38 (5),Stockholm,7-Jul
107. Bill McChesney (Oregon),3:59.1 (2),Eugene,26-Jul
,,,
1981,,,
108. Tom Byers (Athletics West),3:56.0i (3),Inglewood,13-Feb
109. Doug Padilla (Athletics West),3:56.6i (3),Daly City,21-Feb
110. Chuck Aragon (Notre Dame),3:59.92i (1),Champaign,28-Feb
111. Dan Aldridge (Sub-4 TC),3:59.9 (2),San José,11-Apr
112. Rudy Chapa (Oregon),3:57.04* (3),Eugene,28-May
113. Ed Spinney (Athletics West),3:57.34* (4),Eugene,28-May
114. Ken Martin (Athletics West),3:57.84* (5),Eugene,28-May
115. John Gregorek (Georgetown),3:57.10 (5),Villanova,30-May
,,,
1982,,,
